HourUTC;HourDK;PriceArea;mFRRUpActBal;mFRRDownActBal;mFRRUpActSpec;mFRRDownActSpec;ImbalanceMWh;ImbalancePriceEUR;ImbalancePriceDKK;BalancingPowerPriceUpEUR;BalancingPowerPriceUpDKK;BalancingPowerPriceDownEUR;BalancingPowerPriceDownDKK
2018-12-31 23:00;2019-01-01 00:00;DK2;0,000000;0,000000;;;;28,320812;211,479996;28,320812;211,479996;28,320812;211,479996
2019-01-01 00:00;2019-01-01 01:00;DK2;0,000000;0,000000;;;;10,070575;75,199997;10,070575;75,199997;10,070575;75,199997
2019-01-01 01:00;2019-01-01 02:00;DK2;0,000000;0,000000;;;;-4,080458;-30,469999;-4,080458;-30,469999;-4,080458;-30,469999
2019-01-01 02:00;2019-01-01 03:00;DK2;0,000000;0,000000;;;;-9,909874;-74,000000;-9,909874;-74,000000;-9,909874;-74,000000
2019-01-01 03:00;2019-01-01 04:00;DK2;0,000000;0,000000;;;;-7,409639;-55,330002;-7,409639;-55,330002;-7,409639;-55,330002
2019-01-01 04:00;2019-01-01 05:00;DK2;0,000000;0,000000;;;;-12,550721;-93,720001;-12,550721;-93,720001;-12,550721;-93,720001
2019-01-01 05:00;2019-01-01 06:00;DK2;0,000000;0,000000;;;;-17,249876;-128,809998;-17,249876;-128,809998;-17,249876;-128,809998
2019-01-01 06:00;2019-01-01 07:00;DK2;0,000000;0,000000;;;;-15,071043;-112,540001;-15,071043;-112,540001;-15,071043;-112,540001
2019-01-01 07:00;2019-01-01 08:00;DK2;0,000000;0,000000;;;;-4,929492;-36,810001;-4,929492;-36,810001;-4,929492;-36,810001
2019-01-01 08:00;2019-01-01 09:00;DK2;0,000000;0,000000;;;;-6,330266;-47,270000;-6,330266;-47,270000;-6,330266;-47,270000
2019-01-01 09:00;2019-01-01 10:00;DK2;0,000000;0,000000;;;;-4,929492;-36,810001;-4,929492;-36,810001;-4,929492;-36,810001
2019-01-01 10:00;2019-01-01 11:00;DK2;0,000000;0,000000;;;;0,449962;3,360000;0,449962;3,360000;0,449962;3,360000
2019-01-01 11:00;2019-01-01 12:00;DK2;0,000000;0,000000;;;;0,120525;0,900000;0,120525;0,900000;0,120525;0,900000
2019-01-01 12:00;2019-01-01 13:00;DK2;0,000000;0,000000;;;;-0,020088;-0,150000;-0,020088;-0,150000;-0,020088;-0,150000
2019-01-01 13:00;2019-01-01 14:00;DK2;0,000000;0,000000;;;;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
2019-01-01 14:00;2019-01-01 15:00;DK2;0,000000;0,000000;;;;-0,029462;-0,220000;-0,029462;-0,220000;-0,029462;-0,220000
2019-01-01 15:00;2019-01-01 16:00;DK2;0,000000;0,000000;;;;1,969922;14,710000;1,969922;14,710000;1,969922;14,710000
2019-01-01 16:00;2019-01-01 17:00;DK2;43,000000;0,000000;;;;54,276646;405,299988;54,276646;405,299988;9,060839;67,660004
2019-01-01 17:00;2019-01-01 18:00;DK2;47,400002;0,000000;;;;54,276646;405,299988;54,276646;405,299988;0,069637;0,520000
2019-01-01 18:00;2019-01-01 19:00;DK2;46,000000;0,000000;;;;50,995674;380,799988;50,995674;380,799988;-4,969668;-37,110001
2019-01-01 19:00;2019-01-01 20:00;DK2;0,000000;0,000000;;;;-6,979765;-52,119999;-6,979765;-52,119999;-6,979765;-52,119999
2019-01-01 20:00;2019-01-01 21:00;DK2;0,000000;0,000000;;;;-16,009802;-119,550003;-16,009802;-119,550003;-16,009802;-119,550003
2019-01-01 21:00;2019-01-01 22:00;DK2;0,000000;0,000000;;;;-4,870569;-36,369999;-4,870569;-36,369999;-4,870569;-36,369999
2019-01-01 22:00;2019-01-01 23:00;DK2;21,100000;0,000000;;;;42,995461;321,059998;42,995461;321,059998;-28,930136;-216,029999
2019-01-01 23:00;2019-01-02 00:00;DK2;0,000000;0,000000;;;;-33,562790;-250,610001;-33,562790;-250,610001;-33,562790;-250,610001
2019-01-02 00:00;2019-01-02 01:00;DK2;0,000000;0,000000;;;;-45,910618;-342,809998;-45,910618;-342,809998;-45,910618;-342,809998
2019-01-02 01:00;2019-01-02 02:00;DK2;0,000000;0,000000;;;;-48,279739;-360,500000;-48,279739;-360,500000;-48,279739;-360,500000
2019-01-02 02:00;2019-01-02 03:00;DK2;0,000000;0,000000;;;;-33,592255;-250,830002;-33,592255;-250,830002;-33,592255;-250,830002
2019-01-02 03:00;2019-01-02 04:00;DK2;0,000000;0,000000;;;;-33,533325;-250,389999;-33,533325;-250,389999;-33,533325;-250,389999
2019-01-02 04:00;2019-01-02 05:00;DK2;0,000000;0,000000;;;;-17,786497;-132,809998;-17,786497;-132,809998;-17,786497;-132,809998
2019-01-02 05:00;2019-01-02 06:00;DK2;0,000000;0,000000;;;;-0,009375;-0,070000;-0,009375;-0,070000;-0,009375;-0,070000
2019-01-02 06:00;2019-01-02 07:00;DK2;0,000000;0,000000;;;;37,422493;279,429993;37,422493;279,429993;37,422493;279,429993
2019-01-02 07:00;2019-01-02 08:00;DK2;0,000000;0,000000;;;;45,425812;339,190002;48,049393;358,779999;45,425812;339,190002
2019-01-02 08:00;2019-01-02 09:00;DK2;0,000000;5,500000;;;;44,926273;335,459991;50,729218;378,790009;44,926273;335,459991
2019-01-02 09:00;2019-01-02 10:00;DK2;0,000000;0,000000;;;;44,979843;335,859985;48,100281;359,160004;44,979843;335,859985
2019-01-02 10:00;2019-01-02 11:00;DK2;0,000000;0,000000;;;;45,425812;339,190002;48,649372;363,260010;45,425812;339,190002
2019-01-02 11:00;2019-01-02 12:00;DK2;0,000000;0,000000;;;;44,426735;331,730011;49,929691;372,820007;44,426735;331,730011
2019-01-02 12:00;2019-01-02 13:00;DK2;0,000000;0,000000;;;;44,426735;331,730011;47,249863;352,809998;44,426735;331,730011
2019-01-02 13:00;2019-01-02 14:00;DK2;0,000000;0,000000;;;;44,990559;335,940002;50,919392;380,209991;44,990559;335,940002
2019-01-02 14:00;2019-01-02 15:00;DK2;0,000000;0,000000;;;;48,190010;359,829987;52,368454;391,029999;48,190010;359,829987
2019-01-02 15:00;2019-01-02 16:00;DK2;0,000000;0,000000;;;;47,805649;356,959991;55,997803;418,130005;47,805649;356,959991
2019-01-02 16:00;2019-01-02 17:00;DK2;0,000000;0,000000;;;;48,420361;361,549988;56,937954;425,149994;48,420361;361,549988
2019-01-02 17:00;2019-01-02 18:00;DK2;0,000000;0,000000;;;;48,989540;365,799988;55,377735;413,500000;48,989540;365,799988
2019-01-02 18:00;2019-01-02 19:00;DK2;0,000000;0,000000;;;;48,989540;365,799988;54,887569;409,839996;48,989540;365,799988
2019-01-02 19:00;2019-01-02 20:00;DK2;0,000000;0,000000;;;;48,919899;365,279999;53,848316;402,079987;48,919899;365,279999
2019-01-02 20:00;2019-01-02 21:00;DK2;0,000000;0,000000;;;;48,919899;365,279999;52,699245;393,500000;48,919899;365,279999
2019-01-02 21:00;2019-01-02 22:00;DK2;0,000000;0,000000;;;;48,420361;361,549988;52,079178;388,869995;48,420361;361,549988
2019-01-02 22:00;2019-01-02 23:00;DK2;0,000000;0,000000;;;;46,090076;344,149994;50,749306;378,940002;46,090076;344,149994
2019-01-02 23:00;2019-01-03 00:00;DK2;0,000000;0,000000;;;;51,967861;388,070007;51,967861;388,070007;42,899231;320,350006
2019-01-03 00:00;2019-01-03 01:00;DK2;0,000000;0,000000;;;;51,967861;388,070007;51,967861;388,070007;45,207901;337,589996
2019-01-03 01:00;2019-01-03 02:00;DK2;0,000000;0,000000;;;;51,967861;388,070007;51,967861;388,070007;48,297287;360,660004
2019-01-03 02:00;2019-01-03 03:00;DK2;0,000000;0,000000;;;;48,388348;361,339996;48,388348;361,339996;48,388348;361,339996
2019-01-03 03:00;2019-01-03 04:00;DK2;0,000000;0,000000;;;;48,778038;364,250000;48,778038;364,250000;48,778038;364,250000
2019-01-03 04:00;2019-01-03 05:00;DK2;0,000000;0,000000;;;;45,908268;342,820007;45,908268;342,820007;45,908268;342,820007
2019-01-03 05:00;2019-01-03 06:00;DK2;0,000000;0,000000;;;;51,057247;381,269989;51,057247;381,269989;51,057247;381,269989
2019-01-03 06:00;2019-01-03 07:00;DK2;0,000000;0,000000;;;;50,987614;380,750000;53,896217;402,470001;50,987614;380,750000
2019-01-03 07:00;2019-01-03 08:00;DK2;0,000000;0,000000;;;;50,987614;380,750000;61,744896;461,079987;50,987614;380,750000
2019-01-03 08:00;2019-01-03 09:00;DK2;0,000000;0,000000;;;;50,454636;376,769989;60,014732;448,160004;50,454636;376,769989
2019-01-03 09:00;2019-01-03 10:00;DK2;0,000000;4,800000;;;;49,487782;369,549988;58,174759;434,420013;49,487782;369,549988
2019-01-03 10:00;2019-01-03 11:00;DK2;0,000000;10,300000;;;;50,987614;380,750000;61,454304;458,910004;50,987614;380,750000
2019-01-03 11:00;2019-01-03 12:00;DK2;0,000000;0,000000;;;;61,984600;462,869995;61,984600;462,869995;61,984600;462,869995
2019-01-03 12:00;2019-01-03 13:00;DK2;0,000000;2,300000;;;;52,977570;395,609985;63,104118;471,230011;52,977570;395,609985
2019-01-03 13:00;2019-01-03 14:00;DK2;0,000000;11,000000;;;;50,959492;380,540009;63,653164;475,329987;50,959492;380,540009
2019-01-03 14:00;2019-01-03 15:00;DK2;0,000000;10,500000;;;;50,454636;376,769989;66,113159;493,700012;50,454636;376,769989
2019-01-03 15:00;2019-01-03 16:00;DK2;0,000000;10,500000;;;;50,587212;377,760010;68,392365;510,720001;50,587212;377,760010
2019-01-03 16:00;2019-01-03 17:00;DK2;0,000000;10,500000;;;;51,463005;384,299988;69,531975;519,229980;51,463005;384,299988
2019-01-03 17:00;2019-01-03 18:00;DK2;0,000000;0,000000;;;;65,653831;490,269989;65,653831;490,269989;65,653831;490,269989
2019-01-03 18:00;2019-01-03 19:00;DK2;0,000000;0,000000;;;;61,494476;459,209991;61,494476;459,209991;61,494476;459,209991
2019-01-03 19:00;2019-01-03 20:00;DK2;0,000000;0,000000;;;;57,585537;430,019989;57,585537;430,019989;57,585537;430,019989
2019-01-03 20:00;2019-01-03 21:00;DK2;0,000000;0,000000;;;;54,426514;406,429993;54,426514;406,429993;54,426514;406,429993
2019-01-03 21:00;2019-01-03 22:00;DK2;0,000000;0,000000;;;;47,987949;358,350006;52,076332;388,880005;47,987949;358,350006
2019-01-03 22:00;2019-01-03 23:00;DK2;0,000000;0,000000;;;;45,408772;339,089996;49,967190;373,130005;45,408772;339,089996
2019-01-03 23:00;2019-01-04 00:00;DK2;0,000000;0,000000;;;;46,777542;349,329987;49,864086;372,380005;46,777542;349,329987
2019-01-04 00:00;2019-01-04 01:00;DK2;0,000000;0,000000;;;;47,965290;358,200012;47,965290;358,200012;47,965290;358,200012
2019-01-04 01:00;2019-01-04 02:00;DK2;0,000000;0,000000;;;;47,065441;351,480011;47,065441;351,480011;47,065441;351,480011
2019-01-04 02:00;2019-01-04 03:00;DK2;0,000000;0,000000;;;;48,286667;360,600006;48,286667;360,600006;46,935551;350,510010
2019-01-04 03:00;2019-01-04 04:00;DK2;0,000000;0,000000;;;;48,424591;361,630005;48,424591;361,630005;46,994469;350,950012
2019-01-04 04:00;2019-01-04 05:00;DK2;0,000000;0,000000;;;;46,904751;350,279999;46,904751;350,279999;46,904751;350,279999
2019-01-04 05:00;2019-01-04 06:00;DK2;0,000000;0,000000;;;;52,494007;392,019989;52,494007;392,019989;50,864365;379,850006
2019-01-04 06:00;2019-01-04 07:00;DK2;0,000000;0,000000;;;;53,984386;403,149994;53,984386;403,149994;53,984386;403,149994
2019-01-04 07:00;2019-01-04 08:00;DK2;0,000000;0,000000;;;;54,434311;406,510010;54,434311;406,510010;54,434311;406,510010
2019-01-04 08:00;2019-01-04 09:00;DK2;0,000000;0,000000;;;;48,788815;364,350006;54,174534;404,570007;48,788815;364,350006
2019-01-04 09:00;2019-01-04 10:00;DK2;0,000000;0,000000;;;;48,788815;364,350006;53,894669;402,480011;48,788815;364,350006
2019-01-04 10:00;2019-01-04 11:00;DK2;0,000000;0,000000;;;;48,286667;360,600006;53,004192;395,829987;48,286667;360,600006
2019-01-04 11:00;2019-01-04 12:00;DK2;0,000000;0,000000;;;;46,777542;349,329987;51,734756;386,350006;46,777542;349,329987
2019-01-04 12:00;2019-01-04 13:00;DK2;0,000000;0,000000;;;;45,770565;341,809998;51,594158;385,299988;45,770565;341,809998
2019-01-04 13:00;2019-01-04 14:00;DK2;0,000000;0,000000;;;;44,995247;336,019989;51,404011;383,880005;44,995247;336,019989
2019-01-04 14:00;2019-01-04 15:00;DK2;0,000000;0,000000;;;;44,995247;336,019989;51,683872;385,970001;44,995247;336,019989
2019-01-04 15:00;2019-01-04 16:00;DK2;0,000000;0,000000;;;;46,777542;349,329987;52,583725;392,690002;46,777542;349,329987
2019-01-04 16:00;2019-01-04 17:00;DK2;0,000000;0,000000;;;;46,777542;349,329987;53,334942;398,299988;46,777542;349,329987
2019-01-04 17:00;2019-01-04 18:00;DK2;0,000000;0,000000;;;;46,274052;345,570007;52,804672;394,339996;46,274052;345,570007
2019-01-04 18:00;2019-01-04 19:00;DK2;0,000000;0,000000;;;;46,274052;345,570007;51,784302;386,720001;46,274052;345,570007
2019-01-04 19:00;2019-01-04 20:00;DK2;0,000000;0,000000;;;;44,495777;332,290009;51,034428;381,119995;44,495777;332,290009
2019-01-04 20:00;2019-01-04 21:00;DK2;0,000000;0,000000;;;;44,262779;330,549988;45,425087;339,230011;44,262779;330,549988
2019-01-04 21:00;2019-01-04 22:00;DK2;0,000000;0,000000;;;;43,954792;328,250000;43,954792;328,250000;43,954792;328,250000
2019-01-04 22:00;2019-01-04 23:00;DK2;0,000000;0,000000;;;;31,406420;234,539993;31,406420;234,539993;31,406420;234,539993
2019-01-04 23:00;2019-01-05 00:00;DK2;0,000000;0,000000;;;;26,899128;200,880005;26,899128;200,880005;26,899128;200,880005
2019-01-05 00:00;2019-01-05 01:00;DK2;0,000000;0,000000;;;;25,119511;187,589996;25,119511;187,589996;25,119511;187,589996
2019-01-05 01:00;2019-01-05 02:00;DK2;0,000000;0,000000;;;;24,119230;180,119995;24,119230;180,119995;24,119230;180,119995
2019-01-05 02:00;2019-01-05 03:00;DK2;0,000000;0,000000;;;;22,039663;164,589996;22,039663;164,589996;22,039663;164,589996
2019-01-05 03:00;2019-01-05 04:00;DK2;0,000000;0,000000;;;;18,369287;137,179993;18,369287;137,179993;18,369287;137,179993
2019-01-05 04:00;2019-01-05 05:00;DK2;0,000000;0,000000;;;;22,089209;164,960007;22,089209;164,960007;22,089209;164,960007
2019-01-05 05:00;2019-01-05 06:00;DK2;0,000000;0,000000;;;;23,349268;174,369995;23,349268;174,369995;23,349268;174,369995
2019-01-05 06:00;2019-01-05 07:00;DK2;0,000000;0,000000;;;;45,601841;340,549988;48,219715;360,100006;45,601841;340,549988
2019-01-05 07:00;2019-01-05 08:00;DK2;0,000000;0,000000;;;;45,601841;340,549988;49,989956;373,320007;45,601841;340,549988
2019-01-05 08:00;2019-01-05 09:00;DK2;0,000000;0,000000;;;;46,108009;344,329987;50,729122;378,839996;46,108009;344,329987
2019-01-05 09:00;2019-01-05 10:00;DK2;0,000000;0,000000;;;;46,108009;344,329987;50,929981;380,339996;46,108009;344,329987
2019-01-05 10:00;2019-01-05 11:00;DK2;0,000000;0,000000;;;;46,108009;344,329987;51,019699;381,010010;46,108009;344,329987
2019-01-05 11:00;2019-01-05 12:00;DK2;0,000000;0,000000;;;;51,359821;383,549988;51,359821;383,549988;51,359821;383,549988
2019-01-05 12:00;2019-01-05 13:00;DK2;0,000000;0,000000;;;;47,121681;351,899994;51,738777;386,380005;47,121681;351,899994
