p_DA,p_H,h_H,p_IM,E_RE,E_FC,lambda_DA_RE,lambda_IM
-4.36543035691836,10.0,154.4133708970593,-2.3992755254345814,3.235294117647059,3.549505822724316,30.78,19.989561
-1.802751878267396,10.0,154.4133708970593,-6.285483415850252,1.911764705882352,1.786677194524583,30.64,19.989561
10.0,10.0,154.4133708970593,-18.431372549019606,1.5686274509803921,1.389104769173922,30.43,19.989561
-5.996413971941434,10.0,154.4133708970593,-1.2584879888428802,2.745098039215686,2.4835384984696027,28.79,22.988798
9.536903039073849,10.0,154.4133708970593,-16.644746176328752,2.8921568627450975,1.3936286934038111,28.42,22.714437
3.5183214412316,10.0,154.4133708970593,-10.577144970643365,2.9411764705882346,2.441667559219845,28.75,22.988798
-9.619553662537571,10.0,154.4133708970593,2.070534054694434,2.450980392156862,3.766354237737267,34.16,22.488256
-10.0,10.0,154.4133708970593,2.1568627450980387,2.156862745098039,3.231680927271811,42.07,22.268766
-6.4204441489243536,10.0,154.4133708970593,-1.0795558510756464,2.5,3.573559264241028,44.89,22.488256
-5.75605016409602,10.0,154.4133708970593,-1.9890478751196667,2.254901960784313,0.9559179361344081,45.26,22.988798
-10.0,10.0,154.4133708970593,2.8921568627450966,2.8921568627450975,1.7659296595719989,45.57,23.988544
-10.0,10.0,154.4133708970593,3.7745098039215677,3.774509803921568,1.544207817105623,45.09,24.988289
-10.0,10.0,154.4133708970593,3.5784313725490193,3.5784313725490193,4.0216937300585585,45.16,24.988289
-7.7406793161212715,10.0,154.4133708970593,0.534796963180094,2.794117647058823,0.074412646836342,44.9,24.988289
-2.8914982167342895,10.0,154.4133708970593,-3.530070410716691,3.5784313725490193,3.228968686317568,44.06,25.986696
10.0,10.0,154.4133708970593,-16.323529411764707,3.676470588235294,9.493952953938487,44.84,25.986696
10.0,10.0,154.4133708970593,-15.931372549019608,4.068627450980392,1.161458472247124,44.4,27.486984
10.0,10.0,154.4133708970593,-15.147058823529413,4.852941176470588,6.913149255808076,46.05,46.027115
-0.31388213019377353,10.0,154.4133708970593,-3.2155296345121087,6.470588235294118,6.2861839483522814,46.72,25.986696
3.765982958906939,10.0,154.4133708970593,-4.942453547142232,8.823529411764707,10.0,45.26,25.305477
-10.0,10.0,154.4133708970593,8.774509803921568,8.774509803921568,8.894574040143935,39.32,20.243847
-10.0,10.0,154.4133708970593,7.990196078431374,7.990196078431373,7.8176569269329494,30.1,16.492458
-6.777866045980275,10.0,154.4133708970593,6.483748398921449,9.705882352941176,10.0,29.71,16.492458
-10.0,10.0,154.4133708970593,9.901960784313726,9.901960784313726,9.101217743762307,24.99,14.99217
-2.6105766700928714,10.0,154.4133708970593,2.3654786308771847,9.754901960784313,9.17520794486024,18.93,14.996454
4.006141824806602,10.0,154.4133708970593,-4.447318295394838,9.558823529411764,10.0,9.98,9.977118
4.992421102163838,10.0,154.4133708970593,-5.6786956119677585,9.313725490196079,9.273102453379071,1.53,1.529486
0.5411533703241034,10.0,154.4133708970593,-0.6882121938535164,9.852941176470587,10.0,0.14,0.140504
-10.0,10.0,154.4133708970593,10.0,10.0,9.913787359921487,0.85,0.849714
3.749371598232149,10.0,154.4133708970593,-3.749371598232149,10.0,10.0,9.92,9.916902
7.65440238373675,10.0,154.4133708970593,-7.65440238373675,10.0,10.0,24.48,21.993549
-10.0,10.0,154.4133708970593,10.0,10.0,8.130317066071385,26.68,21.993549
-7.632359965837296,10.0,154.4133708970593,7.632359965837296,10.0,6.869250318221724,28.81,23.99272
10.0,10.0,154.4133708970593,-10.098039215686274,9.901960784313726,10.0,29.28,25.573055
-10.0,10.0,154.4133708970593,9.558823529411764,9.558823529411764,9.05156743845806,28.85,29.491108
-10.0,10.0,154.4133708970593,9.117647058823529,9.117647058823529,10.0,31.8,31.791359
