p_DA,p_H,h_H,p_IM,s1,s2,E_RE,E_FC,lambda_DA_RE,lambda_IM,revenue
-8.884624294320176,10.0,154.4133708970593,2.119918411967234,0.0,0.0,3.235294117647059,3.549505822724316,30.78,19.989561,695.3877280142231
-7.362574837601882,10.0,154.4133708970593,-0.7256604565157669,0.0,0.0,1.911764705882352,1.786677194524583,30.64,19.989561,686.3852983974245
-0.5472143644415768,10.0,154.4133708970593,-7.884158184578031,0.0,0.0,1.5686274509803921,1.389104769173922,30.43,19.989561,752.227631308127
-3.906678111548887,10.0,154.4133708970593,-3.3482238492354277,0.0,0.0,2.745098039215686,2.4835384984696027,28.79,22.988798,737.0353208220077
-0.15859343202460385,10.0,154.4133708970593,-6.949249705230299,0.0,0.0,2.8921568627450975,1.3936286934038111,28.42,22.714437,764.1247054174944
2.3954713095026676,10.0,154.4133708970593,-9.454294838914432,0.0,0.0,2.9411764705882346,2.441667559219845,28.75,22.988798,778.0071512463112
-8.085058317266462,10.0,154.4133708970593,0.5360387094233232,0.0,0.0,2.450980392156862,3.766354237737267,34.16,22.488256,662.3492089879549
-9.542003821905984,10.0,154.4133708970593,1.698866567004023,0.0,0.0,2.156862745098039,3.231680927271811,42.07,22.268766,562.8797866406071
-3.88773985085503,10.0,154.4133708970593,-3.61226014914497,0.0,0.0,2.5,3.573559264241028,44.89,22.488256,670.7261525049033
-7.362961713941962,10.0,154.4133708970593,-0.3821363252737253,0.0,0.0,2.254901960784313,0.9559179361344081,45.26,22.988798,584.4477234191627
-9.858937946973711,10.0,154.4133708970593,2.7510948097188077,0.0,0.0,2.8921568627450975,1.7659296595719989,45.57,23.988544,543.2031820298752
-9.66294840338287,10.0,154.4133708970593,3.437458207304438,0.0,0.0,3.774509803921568,1.544207817105623,45.09,24.988289,576.6740809833675
-9.52895905949678,10.0,154.4133708970593,3.107390432045799,0.0,0.0,3.5784313725490193,4.0216937300585585,45.16,24.988289,573.8008044072767
-6.319063525576173,10.0,154.4133708970593,-0.8868188273650048,0.0,0.0,2.794117647058823,0.074412646836342,44.9,24.988289,620.5941879351478
-4.994126400636739,10.0,154.4133708970593,-1.4274422268142413,0.0,0.0,3.5784313725490193,3.228968686317568,44.06,25.986696,669.3445089645163
0.7201562660458141,10.0,154.4133708970593,-7.043685677810521,0.0,0.0,3.676470588235294,9.493952953938487,44.84,25.986696,775.7299139230342
-1.5324610763125,10.0,154.4133708970593,-4.398911472707108,0.0,0.0,4.068627450980392,1.161458472247124,44.4,27.486984,737.5261443263641
