p_DA,p_H,p_IM,h_H,E_RE,z_on,z_sb,z_off,z_su,lambda_DA_RE,lambda_IM
-10.0,10.0,10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,0.0,0.0
-10.0,10.0,10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,0.0,0.0
-10.0,10.0,9.901960784313726,154.41337089705934,9.901960784313726,1.0,0.0,0.0,0.0,0.0,0.0
-10.0,10.0,8.382352941176471,154.41337089705934,8.382352941176471,1.0,0.0,0.0,0.0,0.0,0.0
-10.0,10.0,8.872549019607842,154.41337089705934,8.872549019607842,1.0,0.0,0.0,0.0,0.0,0.0
-10.0,10.0,9.901960784313726,154.41337089705934,9.901960784313726,1.0,0.0,0.0,0.0,0.0,0.0
-10.0,10.0,9.950980392156865,154.41337089705934,9.950980392156865,1.0,0.0,0.0,0.0,0.0,0.0
10.0,10.0,-10.049019607843135,154.41337089705934,9.950980392156865,1.0,0.0,0.0,0.0,37.43,37.422493
10.0,10.0,-10.049019607843135,154.41337089705934,9.950980392156865,1.0,0.0,0.0,0.0,48.06,45.425812
10.0,10.0,-10.049019607843135,154.41337089705934,9.950980392156865,1.0,0.0,0.0,0.0,50.74,44.926273
10.0,10.0,-10.049019607843135,154.41337089705934,9.950980392156865,1.0,0.0,0.0,0.0,48.11,44.979843
10.0,10.0,-10.049019607843135,154.41337089705934,9.950980392156865,1.0,0.0,0.0,0.0,48.66,45.425812
10.0,10.0,-10.049019607843135,154.41337089705934,9.950980392156865,1.0,0.0,0.0,0.0,49.94,44.426735
10.0,10.0,-10.049019607843135,154.41337089705934,9.950980392156865,1.0,0.0,0.0,0.0,47.26,44.426735
10.0,10.0,-10.049019607843135,154.41337089705934,9.950980392156865,1.0,0.0,0.0,0.0,50.93,44.990559
10.0,10.0,-10.441176470588236,154.41337089705934,9.558823529411764,1.0,0.0,0.0,0.0,52.38,48.19001
10.0,10.0,-12.205882352941178,154.41337089705934,7.794117647058823,1.0,0.0,0.0,0.0,56.01,47.805649
10.0,10.0,-11.519607843137255,154.41337089705934,8.480392156862745,1.0,0.0,0.0,0.0,56.95,48.420361
10.0,10.0,-10.490196078431373,154.41337089705934,9.509803921568627,1.0,0.0,0.0,0.0,55.39,48.98954
10.0,10.0,-11.617647058823529,154.41337089705934,8.382352941176471,1.0,0.0,0.0,0.0,54.9,48.98954
10.0,10.0,-14.656862745098039,154.41337089705934,5.3431372549019605,1.0,0.0,0.0,0.0,53.86,48.919899
10.0,10.0,-15.833333333333332,154.41337089705934,4.166666666666667,1.0,0.0,0.0,0.0,52.71,48.919899
10.0,10.0,-15.196078431372548,154.41337089705934,4.803921568627451,1.0,0.0,0.0,0.0,52.09,48.420361
